  1,  1.32,  1.44,  1.44,
  2,  1.32,  1.42,  1.42,
  3,  1.32,  1.40,  1.40,
  4,  1.33,  1.37,  1.37,
  5,  1.33,  1.35,  1.35,
  6,  1.33,  1.32,  1.32,
  7,  1.33,  1.29,  1.29,
  8,  1.33,  1.27,  1.27,
  9,  1.33,  1.23,  1.23,
 10,  1.33,  1.20,  1.20,
 11,  1.34,  1.16,  1.16,
 12,  1.34,  1.12,  1.12,
 13,  1.34,  1.08,  1.08,
 14,  1.34,  1.04,  1.04,
 15,  1.34,  0.99,  0.99,
 16,  1.35,  0.94,  0.94,
 17,  1.35,  0.88,  0.88,
 18,  1.35,  0.82,  0.82,
 19,  1.35,  0.76,  0.76,
 20,  1.36,  0.69,  0.69,
 21,  1.36,  0.61,  0.61,
 22,  1.36,  0.52,  0.52,
 23,  1.36,  0.40,  0.40,
 24,  1.37,  0.23,  0.23,
 25,  1.37,  1.54,  1.54,
 26,  1.37,  1.49,  1.49,
 27,  1.37,  1.43,  1.43,
 28,  1.38,  1.38,  1.38,
 29,  1.38,  1.31,  1.31,
 30,  1.38,  1.26,  1.26,
 31,  1.39,  1.19,  1.19,
 32,  1.39,  1.12,  1.12,
 33,  1.39,  1.05,  1.05,
 34,  1.40,  0.98,  0.98,
 35,  1.40,  0.90,  0.90,
 36,  1.40,  0.82,  0.82,
 37,  1.41,  0.72,  0.72,
 38,  1.41,  0.61,  0.61,
 39,  1.41,  0.49,  0.49,
 40,  1.42,  0.31,  0.31,
 41,  1.42,  1.55,  1.55,
 42,  1.42,  1.48,  1.48,
 43,  1.43,  1.41,  1.41,
 44,  1.43,  1.34,  1.34,
 45,  1.43,  1.27,  1.27,
 46,  1.44,  1.19,  1.19,
 47,  1.44,  1.11,  1.11,
 48,  1.45,  1.03,  1.03,
 49,  1.45,  0.94,  0.94,
 50,  1.45,  0.85,  0.85,
 51,  1.46,  0.74,  0.74,
 52,  1.46,  0.62,  0.62,
 53,  1.46,  0.48,  0.48,
 54,  1.47,  0.28,  0.28,
 55,  1.47,  1.53,  1.53,
 56,  1.48,  1.46,  1.46,
 57,  1.48,  1.38,  1.38,
 58,  1.48,  1.30,  1.30,
 59,  1.49,  1.22,  1.22,
 60,  1.49,  1.14,  1.14,
 61,  1.49,  1.05,  1.05,
 62,  1.50,  0.96,  0.96,
 63,  1.50,  0.86,  0.86,
 64,  1.51,  0.76,  0.76,
 65,  1.51,  0.63,  0.63,
 66,  1.51,  0.48,  0.48,
 67,  1.52,  0.28,  0.28,
 68,  1.52,  0.29,  2.85,
 69,  1.53,  0.50,  2.65,
 70,  1.53,  0.64,  2.50,
 71,  1.53,  0.76,  2.38,
 72,  1.54,  0.87,  2.27,
 73,  1.54,  0.97,  2.17,
 74,  1.55,  1.06,  2.08,
 75,  1.55,  1.15,  1.99,
 76,  1.55,  1.24,  1.91,
 77,  1.56,  1.32,  1.82,
 78,  1.56,  1.40,  1.74,
 79,  1.57,  1.48,  1.66,
 80,  1.57,  1.56,  1.58,
 81,  1.57,  1.64,  1.50,
 82,  1.58,  1.71,  1.43,
 83,  1.58,  1.80,  1.35,
 84,  1.59,  1.88,  1.26,
 85,  1.59,  1.96,  1.18,
 86,  1.59,  2.05,  1.09,
 87,  1.60,  2.14,  1.00,
 88,  1.60,  2.23,  0.91,
 89,  1.61,  2.34,  0.81,
 90,  1.61,  2.45,  0.69,
 91,  1.61,  2.58,  0.56,
 92,  1.62,  2.75,  0.39,
 93,  1.62,  0.06,  0.06,
 94,  1.63,  0.40,  0.40,
 95,  1.63,  0.57,  0.57,
 96,  1.63,  0.70,  0.70,
 97,  1.64,  0.81,  0.81,
 98,  1.64,  0.91,  0.91,
 99,  1.64,  1.00,  1.00,
100,  1.65,  1.09,  1.09,
101,  1.65,  1.17,  1.17,
102,  1.66,  1.25,  1.25,
103,  1.66,  1.33,  1.33,
104,  1.66,  1.40,  1.40,
105,  1.67,  1.48,  1.48,
106,  1.67,  1.55,  1.55,
107,  1.67,  0.33,  0.33,
108,  1.68,  0.51,  0.51,
109,  1.68,  0.64,  0.64,
110,  1.69,  0.75,  0.75,
111,  1.69,  0.85,  0.85,
112,  1.69,  0.94,  0.94,
113,  1.70,  1.03,  1.03,
114,  1.70,  1.11,  1.11,
115,  1.70,  1.19,  1.19,
116,  1.71,  1.26,  1.26,
117,  1.71,  1.33,  1.33,
118,  1.71,  1.40,  1.40,
119,  1.72,  1.46,  1.46,
120,  1.72,  1.53,  1.53,
121,  1.72,  0.23,  0.23,
122,  1.73,  0.43,  0.43,
123,  1.73,  0.56,  0.56,
124,  1.73,  0.68,  0.68,
125,  1.74,  0.77,  0.77,
126,  1.74,  0.86,  0.86,
127,  1.74,  0.93,  0.93,
128,  1.75,  1.01,  1.01,
129,  1.75,  1.08,  1.08,
130,  1.75,  1.14,  1.14,
131,  1.76,  1.20,  1.20,
132,  1.76,  1.26,  1.26,
133,  1.76,  1.32,  1.32,
