3.4	4.8	9.9	17.6	22.4	25.8	31.4	30	24.7	17.7	8.8	0.6
1.1	1.5	8.2	16.2	22.2	25.1	27.2	29.7	25.4	17.5	9.2	2.9
1.7	3.8	9.4	19.1	22.2	26.5	29	31.2	26.8	20.2	13.5	2.7
0.7	6.7	10.4	16.9	22.8	26.4	27.6	27.4	24.7	18.5	7.7	4.3
-1.8	3.5	11.3	19	23.6	28.5	31	29.5	26.5	22.5	12	5.5
1.8	2.2	9.8	19.1	26.2	27.4	30.9	29.7	25.4	20.2	12.8	5.6
4.8	5.1	11.6	16.2	22.2	26	29.2	29.5	24.5	21.3	10.3	5.4
0.7	2.3	11.2	15.7	22.8	26.5	27	26.5	24.6	18.2	12.6	0.3
-2.7	2.4	12.1	18.7	21.9	27.4	29.8	28.7	25.2	18.2	7.7	4.1
1.2	6	11.8	18.8	23.9	27.7	30.5	29.6	26.2	21.9	12.6	3.3
2.5	2.4	11.8	20	25	28.8	28.2	30.9	26.7	19.1	10.7	2.7
-2.6	1.8	8.1	18.8	25.7	28.7	30.4	31.5	25.1	19.3	12.4	3.1
-1.6	4.1	10.1	18.9	24.5	27.8	30	30.8	24.3	19.6	9.3	0.8
-1	1.7	11.1	19.1	23.6	27.1	27.9	29.3	25.2	17.1	9.6	5.2
1.4	4.8	9.9	17.7	23.8	28.7	28	28.9	24.9	20.5	11.7	4.9
2.4	4.2	9.8	18.3	24.7	28.1	27.8	31.4	26.1	20.4	10.3	4.3
3.7	7.2	11.6	21.4	24.8	26.7	29	30.2	25.3	18.8	10.9	4.9
0.4	6.2	12.3	17.4	22.1	25.4	29.7	32	26	21	13.7	4.3
1.7	3.6	10.7	20.7	23.9	28.7	28.4	30.3	25.3	19.9	11.4	5.4
3.6	5.5	12.7	18.6	22.1	26.4	29.4	28.6	24.9	18.4	10.5	4.4
2.3	6	10.8	17.2	24.4	26	27.4	26.7	26.3	19.5	12.2	4.2
4	6.9	10.4	22.8	24.3	28.8	34.3	31.8	26.1	20.8	14.7	6.5
3.4	7.9	11.8	18.9	23.6	27	29.3	30.7	25.2	21.7	12.1	3.9
3.6	5.1	10.3	17.3	25.7	27.4	30.3	31.1	27.6	20.8	11.3	6.7
2.4	7.6	14.8	21.4	23.2	28.7	30.2	31.4	25.1	20	13.8	5.5
2.8	8.1	13.7	21.4	23.9	24.8	27.7	28.3	26.5	21	11.6	6.6
4.1	5.4	11.8	20.1	23	28.2	29.5	29.2	26.5	18.8	12.2	4.1
2.2	3.7	12.5	17.9	23.6	28.2	30.4	29.6	24.3	19.7	11.7	5.4
0.7	4.2	10.8	20	25.1	27.1	29.8	30.4	26.9	20.1	11.2	4.3
3.8	7.4	14.6	20.5	23.7	26.9	29	27.9	26	18.1	8.5	5.7
1.6	6.9	12.2	19.1	25.5	26.1	27.5	27.7	24.8	19	13.1	4.7
2.7	8.2	12.6	20	23	28.2	28.4	29.8	25.7	21.1	14	7.2
3.1	3.6	11.1	20.7	24.8	28.7	30	29.7	26.3	19.9	13.8	0.9
4.7	5.3	12	17.9	24.8	27.7	26.7	32.1	24.8	22.7	12.8	4.9
4.7	9.2	11.4	17.7	24	27.7	27.8	30	24.5	20.6	11.4	4.8
2.6	4.4	12.7	20.3	23.8	26.3	29.7	29.6	26.7	21.3	12.2	5.2
2.7	7.4	12.4	19.4	25.4	27.5	28.4	29.9	26.4	21.4	10.8	2.5
-0.3	5.6	8.7	15.7	23.8	28.8	29.9	30.5	26.2	19.5	11.5	3
-2.3	6.5	9.9	17.3	23.7	27.5	28.5	29.8	25.8	19.5	15.1	3.6
2.3	4.2	10.3	18.8	25.5	29.8	30.2	31.3	25.6	20.6	9.8	0
0.9	3.7	12.2	16.2	24.6	29.3	29.2	31.7	26	21.3	10.3	3.7
3.6	6.8	13.9	20.6	25.3	28.1	30.5	28.5	27.2	20.9	13.2	1.4
3.4	5.9	13.3	19.1	25.7	29	29.6	31.2	27.7	21.4	12.4	5.6
2	5.7	13.4	21.5	26.3	29.5	30.1	32.6	27.5	20.9	12.2	6.2
3.5	5.8	13.1	20.8	26	29.3	29.7	29.2	26.7	21.7	10.7	2.1
1	4.1	14.2	19.6	23.8	29	32.6	32.8	26.3	18.7	13.1	4.3
4.7	6.6	13.2	18.4	26.7	28.3	30.4	32.1	26.9	21.7	13.2	5
6.3	7.7	14.6	18.1	23.9	29	27.6	30.4	25.6	20.1	13.2	4.4
2.5	8.8	15.3	20.3	22.2	28.1	32.2	29.7	26.8	20.7	13.3	5.3
